question_id,question_text
q1,Flere opgaver i den offentlige sektor skal fremover løses af private virksomheder
q2,"Offentlige institutioner tager for mange hensyn til religiøse minoriteter, for eksempel ved at tilbyde måltider uden svinekød"
q3,Investering i vejnettet haster mere end investering i kollektiv trafik
q4,"Det er muligt at spare penge i den offentlige sektor, uden at det går ud over den offentlige velfærd"
q5,Kommuneskatten i Københavns Kommune skal sættes op og pengene skal bruges på bedre velfærd
q6,Københavns Kommune skal gøre det billigere at drive virksomhed
q7,Der skal opsættes flere anlæg til vedvarende energi som vindmøller og solceller i Københavns Kommune
q8,"Københavns Kommune skal sikre frokostordning i folkeskolen, selv om det kan tage penge fra andre opgaver"
q9,"Københavns Kommune skal sikre brugbare beskyttelsesrum, selv om det kan betyde færre penge til andre områder"
q10,Ældre skal kunne tilkøbe ekstra service på de kommunale plejehjem
q11,"Københavns Kommune skal prioritere, at skoleelever bliver blandet efter etnicitet og social baggrund – også selv om det kan gå ud over forældrenes fri skolevalg"
q12,"Der skal indføres højere brugerbetaling på kultur- og fritidstilbud som teatre, ungdomsklubber og biblioteksarrangementer"
q13,Der skal etableres flere parkeringspladser i Københavns Kommune
q14,Politikerne skal forhindre opførelse af moskeer
q15,Københavns Kommune skal fremme opførelsen af flere almene lejeboliger
q16,Der bliver bygget for mange højhuse
q17,"Københavns Kommune skal oprette akutskoler til folkeskoleelever, der har været grænseoverskridende eller voldelige over for klassekammerater eller lærere"
q18,Den kommende kunstige halvø Lynetteholm er en vigtig del af udviklingen af København
q19,Det er en god idé at nedlægge parkeringspladser i centrum af København by
